Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"Q3,Q4,Q2,Q1",SOT-143_Handsoldering,4,BFP196,
2,"R5,R15,R14,R11,R10,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,10000,
3,"C5,C9,C8,C7,C4,C3,C2,C1",C_0805_HandSoldering,8,1000n,
4,R17,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10,
5,"R16,R12",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,1000,
6,T1,1:1:1transformer,1,T-622-KK81+,
7,"R13,R8",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,470,
8,R9,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,330,
9,"R7,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,220,
10,"R6,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,4700,
11,R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,100,
12,C6,C_0805_HandSoldering,1,4.7 uF,
13,J1,BNCrightangle,1,Conn_Coaxial,
14,P1,3PoleScrewTerm,1,CONN_01X03,
15,L1,L_TDK_SLF12555,1,1mH,
